app_id,name,release_date,price,estimated_owners,developers,genres
786110,Cubes,2019-01-11,9.99,0 - 20000,"[""Best Bit Studios""]","[""Indie""]"
786120,Galaxy Wide Domination,2018-02-16,3.99,0 - 20000,"[""CPSuperstore""]","[""Action"", ""Indie"", ""Early Access""]"
786130,Teeny Heist,2018-02-11,0.99,0 - 20000,"[""The Burning Red Design""]","[""Casual"", ""Indie"", ""Simulation"", ""Strategy""]"
786140,Plat4mer,2018-12-17,0.0,20000 - 50000,"[""sky-coding""]","[""Action"", ""Casual"", ""Free To Play"", ""Indie""]"
786170,Bomb Bay,2018-02-11,4.99,0 - 20000,"[""Jake Waggoner""]","[""Violent"", ""Action"", ""Casual"", ""Indie"", ""Early Access""]"
786180,ReHack,2018-03-23,1.99,0 - 20000,"[""EasyWays Team""]","[""Action"", ""Indie"", ""Simulation""]"
786280,Armored Squad,2018-02-06,4.99,0 - 20000,"[""FoxForceGames""]","[""Action"", ""Indie"", ""Massively Multiplayer""]"
786290,Undercover Agent,2018-01-25,4.99,0 - 20000,"[""Choice of Games""]","[""Adventure"", ""Indie"", ""RPG""]"
786330,Internal Storm,2018-03-28,0.99,20000 - 50000,"[""CaveBrave""]","[""Casual"", ""Indie"", ""RPG""]"
786340,Ativeil,2018-02-15,6.99,0 - 20000,"[""Phoesion""]","[""Adventure"", ""Casual"", ""Indie"", ""Simulation""]"
786350,Shinobi Bad Buddies,2018-11-28,0.0,0 - 20000,"[""Corbak Games""]","[""Action"", ""Indie""]"
786370,Alien Crusader,2018-03-09,0.0,20000 - 50000,"[""Zydrone""]","[""Action"", ""Free To Play"", ""Indie""]"
786390,Purgatory Fell,2018-03-30,7.99,0 - 20000,"[""Martian Games""]","[""Adventure""]"
786410,An Aspie Life,2018-03-29,0.0,20000 - 50000,"[""Bradley Hennessey"", ""Joe Watson""]","[""Adventure"", ""Casual"", ""Indie"", ""Simulation"", ""Free To Play""]"
786420,Fantastic Sea,2018-02-06,2.99,0 - 20000,"[""Zhu Feng"", ""Liu Fang""]","[""Casual"", ""Indie"", ""Simulation"", ""Strategy""]"
786450,Don't Bite Me Bro! +,2018-07-16,0.99,100000 - 200000,"[""MUIFWEGO""]","[""Action"", ""Adventure"", ""Indie"", ""RPG"", ""Simulation"", ""Strategy""]"
786470,Border closure 边境封闭,2018-06-03,4.99,0 - 20000,"[""边境巡线人""]","[""Action"", ""Indie"", ""RPG"", ""Early Access""]"
786490,Brew-Ha,2018-03-19,0.0,0 - 20000,"[""Black Banshee Studios""]","[""Action"", ""Casual"", ""Free To Play"", ""Indie"", ""Simulation""]"
786510,Oracle of Forgotten Testament,2018-03-02,4.99,0 - 20000,"[""Great Conspiracy Theory""]","[""RPG""]"
786540,Brick vs. Paddle,2018-04-05,3.99,0 - 20000,"[""Viaticum Games""]","[""Casual"", ""Indie""]"
786570,The Alpha Device,2018-02-13,0.0,20000 - 50000,"[""Xiotex Studios Ltd""]","[""Action"", ""Adventure"", ""Casual"", ""Indie"", ""Simulation""]"
786580,Gleaner Heights,2018-02-21,9.99,20000 - 50000,"[""Emilios Manolidis""]","[""Action"", ""Adventure"", ""Casual"", ""Indie"", ""RPG"", ""Simulation""]"
